benchmark,mode,platform,iteration,value_cycles,value_ns
quicksort,aot,thumbv8,19,983567,6557113
matrix_multiplication,aot,thumbv8,0,31300190,208667933
matrix_multiplication,aot,thumbv8,1,31287616,208584106
matrix_multiplication,aot,thumbv8,2,31285947,208572980
matrix_multiplication,aot,thumbv8,3,31285448,208569653
matrix_multiplication,aot,thumbv8,4,31285203,208568020
matrix_multiplication,aot,thumbv8,5,31285503,208570020
matrix_multiplication,aot,thumbv8,6,31285017,208566780
matrix_multiplication,aot,thumbv8,7,31284528,208563520
matrix_multiplication,aot,thumbv8,8,31285396,208569306
matrix_multiplication,aot,thumbv8,9,31284929,208566193
matrix_multiplication,aot,thumbv8,10,31284993,208566620
matrix_multiplication,aot,thumbv8,11,31285009,208566726
matrix_multiplication,aot,thumbv8,12,31285191,208567940
matrix_multiplication,aot,thumbv8,13,31285357,208569046
matrix_multiplication,aot,thumbv8,14,31285187,208567913
matrix_multiplication,aot,thumbv8,15,31285215,208568100
matrix_multiplication,aot,thumbv8,16,31285313,208568753
matrix_multiplication,aot,thumbv8,17,31285165,208567766
matrix_multiplication,aot,thumbv8,18,31285873,208572486
matrix_multiplication,aot,thumbv8,19,31285152,208567680
fibonacci,aot,thumbv8,0,72340168,482267786
fibonacci,aot,thumbv8,1,72327983,482186553
fibonacci,aot,thumbv8,2,72327333,482182220
fibonacci,aot,thumbv8,3,72327821,482185473
fibonacci,aot,thumbv8,4,72327267,482181780
fibonacci,aot,thumbv8,5,72327407,482182713
fibonacci,aot,thumbv8,6,72326817,482178780
fibonacci,aot,thumbv8,7,72327664,482184426
fibonacci,aot,thumbv8,8,72327260,482181733
fibonacci,aot,thumbv8,9,72327314,482182093
fibonacci,aot,thumbv8,10,72326523,482176820
fibonacci,aot,thumbv8,11,72327329,482182193
fibonacci,aot,thumbv8,12,72327362,482182413
fibonacci,aot,thumbv8,13,72327370,482182466
fibonacci,aot,thumbv8,14,72327289,482181926
fibonacci,aot,thumbv8,15,72327443,482182953
fibonacci,aot,thumbv8,16,72327149,482180993
fibonacci,aot,thumbv8,17,72327202,482181346
fibonacci,aot,thumbv8,18,72327291,482181940
fibonacci,aot,thumbv8,19,72327382,482182546
crc32,fast_interp,thumbv8,0,5943175,39621166
crc32,fast_interp,thumbv8,1,5937922,39586146
crc32,fast_interp,thumbv8,2,5937277,39581846
crc32,fast_interp,thumbv8,3,5937989,39586593
crc32,fast_interp,thumbv8,4,5937345,39582300
crc32,fast_interp,thumbv8,5,5937966,39586440
crc32,fast_interp,thumbv8,6,5937265,39581766
crc32,fast_interp,thumbv8,7,5937330,39582200
crc32,fast_interp,thumbv8,8,5937454,39583026
crc32,fast_interp,thumbv8,9,5937727,39584846
crc32,fast_interp,thumbv8,10,5938294,39588626
crc32,fast_interp,thumbv8,11,5937719,39584793
crc32,fast_interp,thumbv8,12,5938242,39588280
crc32,fast_interp,thumbv8,13,5938148,39587653
crc32,fast_interp,thumbv8,14,5937584,39583893
crc32,fast_interp,thumbv8,15,5937353,39582353
crc32,fast_interp,thumbv8,16,5938039,39586926
crc32,fast_interp,thumbv8,17,5937564,39583760
crc32,fast_interp,thumbv8,18,5937228,39581520
crc32,fast_interp,thumbv8,19,5937756,39585040
quicksort,fast_interp,thumbv8,0,16142625,107617500
quicksort,fast_interp,thumbv8,1,16124317,107495446
quicksort,fast_interp,thumbv8,2,16119798,107465320
quicksort,fast_interp,thumbv8,3,16121059,107473726
quicksort,fast_interp,thumbv8,4,16121936,107479573
quicksort,fast_interp,thumbv8,5,16120103,107467353
quicksort,fast_interp,thumbv8,6,16122518,107483453
quicksort,fast_interp,thumbv8,7,16120347,107468980
quicksort,fast_interp,thumbv8,8,16119123,107460820
quicksort,fast_interp,thumbv8,9,16121720,107478133
quicksort,fast_interp,thumbv8,10,16121771,107478473
quicksort,fast_interp,thumbv8,11,16120890,107472600
quicksort,fast_interp,thumbv8,12,16120253,107468353
quicksort,fast_interp,thumbv8,13,16121407,107476046
quicksort,fast_interp,thumbv8,14,16120669,107471126
quicksort,fast_interp,thumbv8,15,16120666,107471106
quicksort,fast_interp,thumbv8,16,16120138,107467586
quicksort,fast_interp,thumbv8,17,16120237,107468246
quicksort,fast_interp,thumbv8,18,16121209,107474726
quicksort,fast_interp,thumbv8,19,16122858,107485720
matrix_multiplication,fast_interp,thumbv8,0,59923535,399490233
matrix_multiplication,fast_interp,thumbv8,1,59902645,399350966
matrix_multiplication,fast_interp,thumbv8,2,59901263,399341753
matrix_multiplication,fast_interp,thumbv8,3,59901994,399346626
matrix_multiplication,fast_interp,thumbv8,4,59902307,399348713
matrix_multiplication,fast_interp,thumbv8,5,59900613,399337420
matrix_multiplication,fast_interp,thumbv8,6,59900409,399336060
matrix_multiplication,fast_interp,thumbv8,7,59901399,399342660
matrix_multiplication,fast_interp,thumbv8,8,59902018,399346786
matrix_multiplication,fast_interp,thumbv8,9,59901015,399340100
matrix_multiplication,fast_interp,thumbv8,10,59901740,399344933
matrix_multiplication,fast_interp,thumbv8,11,59902136,399347573
matrix_multiplication,fast_interp,thumbv8,12,59900963,399339753
matrix_multiplication,fast_interp,thumbv8,13,59901531,399343540
matrix_multiplication,fast_interp,thumbv8,14,59901585,399343900
matrix_multiplication,fast_interp,thumbv8,15,59901998,399346653
matrix_multiplication,fast_interp,thumbv8,16,59901669,399344460
matrix_multiplication,fast_interp,thumbv8,17,59901876,399345840
matrix_multiplication,fast_interp,thumbv8,18,59901543,399343620
matrix_multiplication,fast_interp,thumbv8,19,59902082,399347213
fibonacci,fast_interp,thumbv8,0,635490499,4236603326
fibonacci,fast_interp,thumbv8,1,635469528,4236463520
fibonacci,fast_interp,thumbv8,2,635468291,4236455273
fibonacci,fast_interp,thumbv8,3,635466446,4236442973
fibonacci,fast_interp,thumbv8,4,635466423,4236442820
fibonacci,fast_interp,thumbv8,5,635466427,4236442846
fibonacci,fast_interp,thumbv8,6,635464477,4236429846
fibonacci,fast_interp,thumbv8,7,635467061,4236447073
fibonacci,fast_interp,thumbv8,8,635467301,4236448673
fibonacci,fast_interp,thumbv8,9,635464329,4236428860
fibonacci,fast_interp,thumbv8,10,635467763,4236451753
fibonacci,fast_interp,thumbv8,11,635465983,4236439886
fibonacci,fast_interp,thumbv8,12,635467121,4236447473
fibonacci,fast_interp,thumbv8,13,635463933,4236426220
fibonacci,fast_interp,thumbv8,14,635469226,4236461506
fibonacci,fast_interp,thumbv8,15,635466112,4236440746
fibonacci,fast_interp,thumbv8,16,635467736,4236451573
fibonacci,fast_interp,thumbv8,17,635466901,4236446006
fibonacci,fast_interp,thumbv8,18,635466190,4236441266
fibonacci,fast_interp,thumbv8,19,635467477,4236449846
crc32,interp,thumbv8,0,15431807,102878713
crc32,interp,thumbv8,1,15429085,102860566
crc32,interp,thumbv8,2,15428223,102854820
crc32,interp,thumbv8,3,15428528,102856853
crc32,interp,thumbv8,4,15427897,102852646
crc32,interp,thumbv8,5,15427840,102852266
crc32,interp,thumbv8,6,15427380,102849200
crc32,interp,thumbv8,7,15428290,102855266
crc32,interp,thumbv8,8,15427755,102851700
crc32,interp,thumbv8,9,15428215,102854766
crc32,interp,thumbv8,10,15428907,102859380
crc32,interp,thumbv8,11,15427987,102853246
crc32,interp,thumbv8,12,15428468,102856453
crc32,interp,thumbv8,13,15427792,102851946
crc32,interp,thumbv8,14,15428436,102856240
crc32,interp,thumbv8,15,15428161,102854406
crc32,interp,thumbv8,16,15427735,102851566
crc32,interp,thumbv8,17,15429155,102861033
crc32,interp,thumbv8,18,15427801,102852006
crc32,interp,thumbv8,19,15429114,102860760
quicksort,interp,thumbv8,0,38528825,256858833
quicksort,interp,thumbv8,1,38493383,256622553
quicksort,interp,thumbv8,2,38491888,256612586
quicksort,interp,thumbv8,3,38491999,256613326
quicksort,interp,thumbv8,4,38493246,256621640
quicksort,interp,thumbv8,5,38490882,256605880
quicksort,interp,thumbv8,6,38492146,256614306
